,EMPRESAS,CATALOGO_EMPRESAS,TIPO_DOCUMENTO
0,Ediloja 1105248189,A GABRIELA NAYHELY,CONTRATO
1,iniversidad tecnica particular de loja,A RAMIREZ MILENNY GABRIELA,CONTRATO
2,universidad tecnica de loja,A_J LAWCONT S.A.S.,CONTRATO
3,,A.J. EVENTOS,CONTRATO
4,,A.R.S. DEL ECUADOR,CONTRATO
5,,A.V.S INGENIERIA CIA.LTDA,CONTRATO
6,,A&R SEGURIDAD INFORMATICA,CONTRATO
7,,AACONT FACTORING S.A.,CONTRATO
8,,AB. MIGUEL ANGEL PUENTE JARA,CONTRATO
9,,ABA-7 CABO MINACHO,CONTRATO
10,,ABAD CASTILLO SANDRA DEL CISNE,CONTRATO
11,,ABAD HERMANOS CIA. LTDA.,CONTRATO
12,,ABAD MENDIETA CIA. LTDA.,CONTRATO
13,,ABASTO AUTOMOTRIZ ABAUTO CA,CONTRATO
14,,ABATA GUANOLUISA LILIAN PATRICIA,CONTRATO
15,,ABEJA SERRANA,CONTRATO
16,,ABENDAO RAMIREZ MONICA ELIZABETH,CONTRATO
17,,ABOCACIA CIA.LTDA,CONTRATO
18,,ABOGADOS-ECUADOR S.A.S,CONTRATO
19,,ABRANCH-FOODS S.A.,CONTRATO
20,,ABRERA MARIA GABRIELA,CONTRATO
21,,ABREU & ASOCIADOS CIA. LTDA.,
22,,ABSORPELSA PAPELES ABSORBENTES S.A,
23,,AC INNOVA SOLUCIONES TECNOLOGIAS S.A.,
24,,AC LOGISTIC ASESORES CONTABLES,
25,,AC TRIBUTACIONES NET,
26,,ACADEMIA DE APRENDIZAJE PRIVADA NEWTON,
27,,ACADEMIA DE REDES CISCO,
28,,ACADEMIA ECUATORIANA DE LA LENGUA,
29,,ACADEMIA GENERAL MIGUEL ITURRALDE 2 TUMBACO,
30,,ACADEMIA MILITAR DEL VALLE,
31,,ACADEMIA NAVAL ALMIRANTE ILLINGWORTH,
32,,ACADEMY SUPPORT CENTER UNIVERSIDAD SAN FRANCISCO DE QUITO,
33,,ACAFE,
34,,ACBIR CORREDORES DE BIENES RAICES,
35,,ACCESORIOS AUTOLUJOS,
36,,ACCOUNTING SERVICES,
37,,ACCOUNTING TAX PLANING CIA. LTDA.,
38,,ACCOUNTS RECEIVABLE SOLUTIONS,
39,,ACE OF CLUBS,
40,,ACE SEGUROS SA,
41,,ACE VODKA,
42,,ACERIA DEL ECUADOR CA ADELCA.,
43,,ACERIAS NACIONALES DEL ECUADOR SA,
44,,ACINDEC S.A,
45,,ACKTIV CONSULTORES CIA. LTDA.,
46,,ACKU INTERNATIONAL BUSINESS CORPORATION,
47,,ACONTFIZ CONSULTORES,
48,,ACORVOL,
49,,ACOSAUSTRO S.A.,
50,,ACOSTA QUEZADA PABLO GEOVANNY,
51,,ACP VILLAUDIT,
52,,ACRIZA ESTETICA,
53,,ACROMAX LABORATORIO QUIMICO FARMACEUTICO S.A.,
54,,ACSAM ICA,
55,,ACSAM-HIDROESTUDIOS-AET-ICA,
56,,ACTAG,
57,,ACTICOMERCIAL CIA. LTDA.,
58,,ACTING OUT ASESORES S.A.,
59,,ACTIVETRADE S.A.,
60,,ACUARIO VAPOERION,
61,,ACUGA S.A.S B.I.C,
62,,ACURIO DEL PINO RAUL FERNANDO,
63,,ACURIO PAEZ GERMANIA CATHERINE,
64,,ACUSONI JIPI TV,
65,,ACVERMUR,
66,,ADASMEG CIA. LTDA.,
67,,ADDVALUE S.A.,
68,,ADE SUR,
69,,ADECCOBUSINESS S.A.,
70,,ADECCOIBERIA S.A.,
71,,ADECOMP,
72,,ADEMM,
73,,ADEPLAN,
74,,ADEPLAN AMBIENTE DESARROLLO Y PLANIFICACION CIA LTDA,
75,,ADEPLAN COMPANIA LIMITADA,
76,,ADIPHARM,
77,,ADITIVOS Y ALIMENTOS S.A. ADILISA,
78,,ADMANTEC CIA LTDA,
79,,ADMINISTRACION DIOCESANA DE TUNGURAHUA,
80,,ADMINISTRACION ZONAL LOS CHILLOS,
81,,ADMINISTRADOR DE CARTERA AUTOMOTRIZ BANCO PICHINCHA – AMERAFIN S.A.,
82,,ADMIX CIA. LTDA,
83,,ADRIANA GABRIELA IIGUEZ PARDO,
84,,ADSERCOM S.A. EMPRESA DE MEDICINA PREPAGADA,
85,,ADSSOFTWARE CIA. LTDA,
86,,ADVISER MANAGER ADVIM C.L.,
87,,ADVOCATI- LEGIS,
88,,AEI CONSULTORES & AUDITORES CIA. LTDA.,
89,,AEMA,
90,,AEQUITECTURA E INGENIERIA,
91,,AEROLANE LINEAS AEREAS NACIONALES DEL ECUADOR,
92,,AEROPUERTO LAGO AGRIO,
